,name,team,g,rec_target,rec_rec,rec_yd,rec_td,fp,fpg,season,week
31,Levine Toilolo,ATL,1,1,1,19,0,1.9,1.9,2016,14
32,Will Tye,NYG,1,2,2,19,0,1.9,1.9,2016,14
33,Dennis Pitta,BAL,1,5,4,18,0,1.8,1.8,2016,14
34,Brandon Bostick,NYJ,1,2,2,17,0,1.7,1.7,2016,14
35,Anthony Fasano,TEN,1,2,1,17,0,1.7,1.7,2016,14
36,Jimmy Graham,SEA,1,4,1,16,0,1.6,1.6,2016,14
37,Nick Boyle,BAL,1,3,3,15,0,1.5,1.5,2016,14
38,Jared Cook,GB,1,2,1,15,0,1.5,1.5,2016,14
39,David Johnson,PIT,1,1,1,15,0,1.5,1.5,2016,14
40,Lance Kendricks,LAR,1,3,1,13,0,1.3,1.3,2016,14
41,Darren Fells,ARI,1,3,1,12,0,1.2,1.2,2016,14
42,Nick O'Leary,BUF,1,1,1,12,0,1.2,1.2,2016,14
43,Jerell Adams,NYG,1,2,2,11,0,1.1,1.1,2016,14
44,Seth Devalve,CLE,1,2,1,11,0,1.1,1.1,2016,14
45,Luke Willson,SEA,1,1,1,11,0,1.1,1.1,2016,14
46,Jordan Reed,WAS,1,1,1,10,0,1.0,1.0,2016,14
47,Brandon Myers,TB,1,1,1,9,0,0.9,0.9,2016,14
48,Tyler Higbee,LAR,1,4,1,8,0,0.8,0.8,2016,14
49,John Phillips,NO,1,1,1,8,0,0.8,0.8,2016,14
50,Richard Rodgers,GB,1,2,1,8,0,0.8,0.8,2016,14
1,Dion Sims,MIA,1,4,4,31,2,15.1,15.1,2016,15
2,Cameron Brate,TB,1,8,5,73,1,13.3,13.3,2016,15
3,Charles Clay,BUF,1,7,7,72,1,13.2,13.2,2016,15
4,Erik Swoope,IND,1,3,3,50,1,11.0,11.0,2016,15
5,Hunter Henry,SD,1,4,3,37,1,9.7,9.7,2016,15
6,Kyle Rudolph,MIN,1,10,8,97,0,9.7,9.7,2016,15
7,Jared Cook,GB,1,8,6,85,0,8.5,8.5,2016,15
8,Ryan Griffin,HOU,1,8,8,85,0,8.5,8.5,2016,15
9,Greg Olsen,CAR,1,9,6,85,0,8.5,8.5,2016,15
10,Garrett Celek,SF,1,6,2,22,1,8.2,8.2,2016,15
11,Zach Ertz,PHI,1,8,6,80,0,8.0,8.0,2016,15
12,Luke Willson,SEA,1,3,3,19,1,7.9,7.9,2016,15
13,Ladarius Green,PIT,1,8,5,72,0,7.2,7.2,2016,15
14,Austin Hooper,ATL,1,1,1,9,1,6.9,6.9,2016,15
15,Delanie Walker,TEN,1,7,6,55,0,5.5,5.5,2016,15
16,Jason Witten,DAL,1,10,10,51,0,5.1,5.1,2016,15
17,Blake Bell,SF,1,1,1,45,0,4.5,4.5,2016,15
18,Jermaine Gresham,ARI,1,5,3,42,0,4.2,4.2,2016,15
19,Travis Kelce,KC,1,5,3,41,0,4.1,4.1,2016,15
20,Jeff Heuerman,DEN,1,4,2,40,0,4.0,4.0,2016,15
21,Eric Ebron,DET,1,7,4,36,0,3.6,3.6,2016,15
22,Gary Barnidge,CLE,1,3,2,35,0,3.5,3.5,2016,15
23,Martellus Bennett,NE,1,4,2,35,0,3.5,3.5,2016,15
24,A.J. Derby,DEN,1,6,4,35,0,3.5,3.5,2016,15
25,Jack Doyle,IND,1,4,4,32,0,3.2,3.2,2016,15
26,Jimmy Graham,SEA,1,2,1,31,0,3.1,3.1,2016,15
27,Levine Toilolo,ATL,1,1,1,30,0,3.0,3.0,2016,15
28,Ed Dickson,CAR,1,1,1,28,0,2.8,2.8,2016,15
29,MarQueis Gray,MIA,1,3,3,28,0,2.8,2.8,2016,15
30,Will Tye,NYG,1,4,4,25,0,2.5,2.5,2016,15
31,Vernon Davis,WAS,1,9,4,23,0,2.3,2.3,2016,15
32,Jerell Adams,NYG,1,4,3,18,0,1.8,1.8,2016,15
33,Dennis Pitta,BAL,1,2,2,16,0,1.6,1.6,2016,15
34,Tyler Higbee,LAR,1,1,1,15,0,1.5,1.5,2016,15
35,Mychal Rivera,OAK,1,2,1,15,0,1.5,1.5,2016,15
36,Neal Sterling,JAC,1,1,1,14,0,1.4,1.4,2016,15
37,Dwayne Allen,IND,1,2,1,13,0,1.3,1.3,2016,15
38,Darren Fells,ARI,1,1,1,13,0,1.3,1.3,2016,15
39,Je'Ron Hamm,SF,1,4,2,13,0,1.3,1.3,2016,15
40,Clive Walford,OAK,1,3,1,13,0,1.3,1.3,2016,15
41,David Johnson,PIT,1,1,1,12,0,1.2,1.2,2016,15
42,Antonio Gates,SD,1,2,1,11,0,1.1,1.1,2016,15
43,Darren Waller,BAL,1,2,1,11,0,1.1,1.1,2016,15
44,Coby Fleener,NO,1,3,2,10,0,1.0,1.0,2016,15
45,Richard Rodgers,GB,1,1,1,10,0,1.0,1.0,2016,15
46,Tyler Eifert,CIN,1,3,1,9,0,0.9,0.9,2016,15
47,Virgil Green,DEN,1,2,1,9,0,0.9,0.9,2016,15
48,John Phillips,NO,1,1,1,9,0,0.9,0.9,2016,15
49,Daniel Brown,CHI,1,2,1,8,0,0.8,0.8,2016,15
50,Joshua Perkins,ATL,1,1,1,8,0,0.8,0.8,2016,15
1,Travis Kelce,KC,1,12,11,160,1,22.0,22.0,2016,16
2,Charles Clay,BUF,1,10,8,85,2,20.5,20.5,2016,16
3,Antonio Gates,SD,1,13,8,94,1,15.4,15.4,2016,16
4,Jimmy Graham,SEA,1,3,2,43,1,10.3,10.3,2016,16
5,Demetrius Harris,KC,1,9,6,37,1,9.7,9.7,2016,16
6,Joshua Perkins,ATL,1,3,2,34,1,9.4,9.4,2016,16
7,Eric Ebron,DET,1,12,8,93,0,9.3,9.3,2016,16
8,Jason Witten,DAL,1,4,2,33,1,9.3,9.3,2016,16
9,Delanie Walker,TEN,1,8,3,23,1,8.3,8.3,2016,16
10,Xavier Grimble,PIT,1,2,1,20,1,8.0,8.0,2016,16
11,Richard Rodgers,GB,1,2,2,20,1,8.0,8.0,2016,16
12,Clive Walford,OAK,1,2,2,20,1,8.0,8.0,2016,16
13,Martellus Bennett,NE,1,2,2,19,1,7.9,7.9,2016,16
14,Matt Lengel,NE,1,1,1,18,1,7.8,7.8,2016,16
15,Dennis Pitta,BAL,1,11,8,75,0,7.5,7.5,2016,16
16,Cameron Brate,TB,1,2,1,12,1,7.2,7.2,2016,16
17,Tyler Higbee,LAR,1,2,2,5,1,6.5,6.5,2016,16
18,D.J. Tialavea,ATL,1,1,1,1,1,6.1,6.1,2016,16
19,Greg Olsen,CAR,1,12,6,59,0,5.9,5.9,2016,16
20,Kyle Rudolph,MIN,1,9,6,53,0,5.3,5.3,2016,16
21,Jesse James,PIT,1,5,4,49,0,4.9,4.9,2016,16
22,Jack Doyle,IND,1,7,5,46,0,4.6,4.6,2016,16
23,Erik Swoope,IND,1,1,1,45,0,4.5,4.5,2016,16
24,Gary Barnidge,CLE,1,6,5,42,0,4.2,4.2,2016,16
25,C.J. Fiedorowicz,HOU,1,7,4,42,0,4.2,4.2,2016,16
26,Jermaine Gresham,ARI,1,4,2,40,0,4.0,4.0,2016,16
27,Garrett Celek,SF,1,7,4,39,0,3.9,3.9,2016,16
28,Jared Cook,GB,1,5,3,37,0,3.7,3.7,2016,16
29,Lance Kendricks,LAR,1,4,3,36,0,3.6,3.6,2016,16
30,Zach Ertz,PHI,1,2,2,33,0,3.3,3.3,2016,16
31,Jeff Heuerman,DEN,1,6,3,32,0,3.2,3.2,2016,16
32,Dwayne Allen,IND,1,4,3,31,0,3.1,3.1,2016,16
33,Coby Fleener,NO,1,3,2,30,0,3.0,3.0,2016,16
34,C.J. Uzomah,CIN,1,6,5,28,0,2.8,2.8,2016,16
35,Brent Celek,PHI,1,3,3,27,0,2.7,2.7,2016,16
36,Will Tye,NYG,1,8,5,23,0,2.3,2.3,2016,16
37,Seth Devalve,CLE,1,1,1,21,0,2.1,2.1,2016,16
38,Brandon Myers,TB,1,6,2,21,0,2.1,2.1,2016,16
39,MarQueis Gray,MIA,1,1,1,20,0,2.0,2.0,2016,16
40,Ben Braunecker,CHI,1,3,2,19,0,1.9,1.9,2016,16
41,Daniel Brown,CHI,1,4,2,19,0,1.9,1.9,2016,16
42,Austin Seferian-Jenkins,NYJ,1,2,1,17,0,1.7,1.7,2016,16
43,John Phillips,NO,1,2,2,15,0,1.5,1.5,2016,16
44,Vernon Davis,WAS,1,2,1,13,0,1.3,1.3,2016,16
45,Henry Krieger-Coble,DEN,1,1,1,13,0,1.3,1.3,2016,16
46,Anthony Fasano,TEN,1,1,1,12,0,1.2,1.2,2016,16
47,Ben Koyack,JAC,1,2,2,12,0,1.2,1.2,2016,16
48,Darren Waller,BAL,1,2,1,11,0,1.1,1.1,2016,16
49,Alex Ellis,JAC,1,2,2,10,0,1.0,1.0,2016,16
50,Chris Manhertz,CAR,1,1,1,10,0,1.0,1.0,2016,16
1,Zach Ertz,PHI,1,16,13,139,2,25.9,25.9,2016,17
2,Kyle Rudolph,MIN,1,15,11,117,1,17.7,17.7,2016,17
3,Antonio Gates,SD,1,8,5,55,1,11.5,11.5,2016,17
4,Hunter Henry,SD,1,5,4,43,1,10.3,10.3,2016,17
5,Gary Barnidge,CLE,1,5,5,40,1,10.0,10.0,2016,17
6,Jordan Reed,WAS,1,6,5,40,1,10.0,10.0,2016,17
7,Darren Fells,ARI,1,2,1,37,1,9.7,9.7,2016,17
8,Dwayne Allen,IND,1,3,3,34,1,9.4,9.4,2016,17
9,Martellus Bennett,NE,1,5,3,33,1,9.3,9.3,2016,17
10,Dennis Pitta,BAL,1,16,11,91,0,9.1,9.1,2016,17
11,Luke Willson,SEA,1,3,3,26,1,8.6,8.6,2016,17
12,Ben Koyack,JAC,1,4,3,25,1,8.5,8.5,2016,17
13,Virgil Green,DEN,1,4,3,17,1,7.7,7.7,2016,17
14,C.J. Uzomah,CIN,1,3,3,13,1,7.3,7.3,2016,17
15,Seth Devalve,CLE,1,1,1,12,1,7.2,7.2,2016,17
16,C.J. Fiedorowicz,HOU,1,7,2,12,1,7.2,7.2,2016,17
17,Jack Doyle,IND,1,5,2,10,1,7.0,7.0,2016,17
18,Garrett Celek,SF,1,1,1,9,1,6.9,6.9,2016,17
19,Jimmy Graham,SEA,1,7,4,64,0,6.4,6.4,2016,17
20,Eric Ebron,DET,1,6,6,61,0,6.1,6.1,2016,17
21,Jared Cook,GB,1,8,4,56,0,5.6,5.6,2016,17
22,Vernon Davis,WAS,1,3,2,49,0,4.9,4.9,2016,17
23,Will Tye,NYG,1,5,4,47,0,4.7,4.7,2016,17
24,Trey Burton,PHI,1,6,5,39,0,3.9,3.9,2016,17
25,Coby Fleener,NO,1,8,3,38,0,3.8,3.8,2016,17
26,Delanie Walker,TEN,1,8,5,35,0,3.5,3.5,2016,17
27,Greg Olsen,CAR,1,4,3,22,0,2.2,2.2,2016,17
28,Erik Swoope,IND,1,1,1,22,0,2.2,2.2,2016,17
29,Jeff Heuerman,DEN,1,4,2,21,0,2.1,2.1,2016,17
30,Charles Clay,BUF,1,7,3,20,0,2.0,2.0,2016,17
31,Brandon Williams,SEA,1,1,1,20,0,2.0,2.0,2016,17
32,Daniel Brown,CHI,1,2,2,18,0,1.8,1.8,2016,17
33,Levine Toilolo,ATL,1,3,1,18,0,1.8,1.8,2016,17
34,Clive Walford,OAK,1,3,1,17,0,1.7,1.7,2016,17
35,Jesse James,PIT,1,3,2,16,0,1.6,1.6,2016,17
36,Richard Rodgers,GB,1,1,1,14,0,1.4,1.4,2016,17
37,Lance Kendricks,LAR,1,3,2,12,0,1.2,1.2,2016,17
38,Ryan Griffin,HOU,1,4,2,10,0,1.0,1.0,2016,17
39,Jason Witten,DAL,1,1,1,10,0,1.0,1.0,2016,17
40,Brent Celek,PHI,1,2,1,9,0,0.9,0.9,2016,17
41,Mychal Rivera,OAK,1,3,2,9,0,0.9,0.9,2016,17
42,Travis Kelce,KC,1,2,1,8,0,0.8,0.8,2016,17
43,Brandon Bostick,NYJ,1,1,1,7,0,0.7,0.7,2016,17
44,Gavin Escobar,DAL,1,3,1,7,0,0.7,0.7,2016,17
45,MyCole Pruitt,CHI,1,1,1,6,0,0.6,0.6,2016,17
46,Matt Lengel,NE,1,2,1,4,0,0.4,0.4,2016,17
47,Luke Stocker,TB,1,1,1,1,0,0.1,0.1,2016,17
48,Stephen Anderson,HOU,1,1,0,0,0,0.0,0.0,2016,17
49,Alan Cross,TB,1,1,0,0,0,0.0,0.0,2016,17
50,Ed Dickson,CAR,1,1,0,0,0,0.0,0.0,2016,17
1,Austin Hooper,ATL,1,2,2,128,1,18.8,18.8,2017,1
2,Jesse James,PIT,1,8,6,41,2,16.1,16.1,2017,1
3,Jason Witten,DAL,1,9,7,59,1,11.9,11.9,2017,1
4,Coby Fleener,NO,1,6,5,54,1,11.4,11.4,2017,1
5,Charles Clay,BUF,1,9,4,53,1,11.3,11.3,2017,1
6,Zach Ertz,PHI,1,8,8,93,0,9.3,9.3,2017,1
7,Kyle Rudolph,MIN,1,3,3,26,1,8.6,8.6,2017,1
8,Delanie Walker,TEN,1,9,7,76,0,7.6,7.6,2017,1
9,Demetrius Harris,KC,1,2,2,15,1,7.5,7.5,2017,1
10,Jared Cook,OAK,1,5,5,56,0,5.6,5.6,2017,1
11,C.J. Fiedorowicz,HOU,1,4,4,46,0,4.6,4.6,2017,1
12,Evan Engram,NYG,1,5,4,44,0,4.4,4.4,2017,1
13,Virgil Green,DEN,1,1,1,44,0,4.4,4.4,2017,1
14,Travis Kelce,KC,1,7,5,40,0,4.4,4.4,2017,1
15,Martellus Bennett,GB,1,6,3,43,0,4.3,4.3,2017,1
16,Seth Devalve,CLE,1,5,4,42,0,4.2,4.2,2017,1
17,Jack Doyle,IND,1,3,2,41,0,4.1,4.1,2017,1
18,Gerald Everett,LAR,1,1,1,39,0,3.9,3.9,2017,1
19,Zach Miller,CHI,1,6,4,39,0,3.9,3.9,2017,1
20,Jordan Reed,WAS,1,8,5,36,0,3.6,3.6,2017,1
21,A.J. Derby,DEN,1,3,3,34,0,3.4,3.4,2017,1
22,Will Tye,NYJ,1,3,3,34,0,3.4,3.4,2017,1
23,Rob Gronkowski,NE,1,6,2,33,0,3.3,3.3,2017,1
24,Dion Sims,CHI,1,3,2,31,0,3.1,3.1,2017,1
25,George Kittle,SF,1,6,5,27,0,2.7,2.7,2017,1
26,Eric Tomlinson,NYJ,1,2,2,25,0,2.5,2.5,2017,1
27,Nick O'Leary,BUF,1,2,1,22,0,2.2,2.2,2017,1
28,Jeff Heuerman,DEN,1,2,1,20,0,2.0,2.0,2017,1
29,David Njoku,CLE,1,2,2,20,0,2.0,2.0,2017,1
30,Lance Kendricks,GB,1,4,2,18,0,1.8,1.8,2017,1
31,James O'Shaughnessy,JAC,1,1,1,18,0,1.8,1.8,2017,1
32,Greg Olsen,CAR,1,4,2,18,0,1.8,1.8,2017,1
33,Antonio Gates,LAC,1,3,2,17,0,1.7,1.7,2017,1
34,Tyler Higbee,LAR,1,3,2,17,0,1.7,1.7,2017,1
35,Jermaine Gresham,ARI,1,4,3,15,0,1.5,1.5,2017,1
36,Stephen Anderson,HOU,1,5,2,14,0,1.4,1.4,2017,1
37,Nick Boyle,BAL,1,1,1,14,0,1.4,1.4,2017,1
38,Derek Carrier,LAR,1,2,1,12,0,1.2,1.2,2017,1
39,Brent Celek,PHI,1,2,1,11,0,1.1,1.1,2017,1
40,Nick Vannett,SEA,1,1,1,10,0,1.0,1.0,2017,1
41,Eric Ebron,DET,1,3,2,9,0,0.9,0.9,2017,1
42,Rhett Ellison,NYG,1,1,1,9,0,0.9,0.9,2017,1
43,Jimmy Graham,SEA,1,7,3,8,0,0.8,0.8,2017,1
44,Tyler Kroft,CIN,1,1,1,5,0,0.5,0.5,2017,1
45,Maxx Williams,BAL,1,1,1,5,0,0.5,0.5,2017,1
46,Tyler Eifert,CIN,1,1,1,4,0,0.4,0.4,2017,1
47,Dwayne Allen,NE,1,2,0,0,0,0.0,0.0,2017,1
48,Vernon Davis,WAS,1,1,0,0,0,0.0,0.0,2017,1
49,Ed Dickson,CAR,1,1,0,0,0,0.0,0.0,2017,1
50,Ryan Griffin,HOU,1,1,0,0,0,0.0,0.0,2017,1
1,Rob Gronkowski,NE,1,9,6,116,1,17.6,17.6,2017,2
2,Travis Kelce,KC,1,10,8,103,1,16.3,16.3,2017,2
3,Jason Witten,DAL,1,13,10,97,1,15.7,15.7,2017,2
4,Delanie Walker,TEN,1,4,4,61,0,12.2,12.2,2017,2
5,Evan Engram,NYG,1,7,4,49,1,10.9,10.9,2017,2
6,Eric Ebron,DET,1,5,5,42,1,10.2,10.2,2017,2
7,Zach Ertz,PHI,1,10,5,97,0,9.7,9.7,2017,2
8,Gerald Everett,LAR,1,3,3,95,0,9.5,9.5,2017,2
9,Coby Fleener,NO,1,4,3,33,1,9.3,9.3,2017,2
10,Ben Watson,BAL,1,8,8,91,0,9.1,9.1,2017,2
11,Jonnu Smith,TEN,1,3,2,30,1,9.0,9.0,2017,2
12,David Njoku,CLE,1,4,3,27,1,8.7,8.7,2017,2
13,Hunter Henry,LAC,1,7,7,80,0,8.0,8.0,2017,2
14,Jack Doyle,IND,1,8,8,79,0,7.9,7.9,2017,2
15,Antonio Gates,LAC,1,4,2,11,1,7.1,7.1,2017,2
16,Virgil Green,DEN,1,3,2,11,1,7.1,7.1,2017,2
17,Seth Devalve,CLE,1,4,2,61,0,6.1,6.1,2017,2
18,Jordan Reed,WAS,1,6,6,48,0,4.8,4.8,2017,2
19,Martellus Bennett,GB,1,11,5,47,0,4.7,4.7,2017,2
20,Ifeanyi Momah,ARI,1,2,1,46,0,4.6,4.6,2017,2
21,Kyle Rudolph,MIN,1,6,4,45,0,4.5,4.5,2017,2
22,Tyler Eifert,CIN,1,4,3,42,0,4.2,4.2,2017,2
23,Zach Miller,CHI,1,9,6,42,0,4.2,4.2,2017,2
24,Jerell Adams,NYG,1,1,1,38,0,3.8,3.8,2017,2
25,Josh Hill,NO,1,3,3,29,0,2.9,2.9,2017,2
26,Jesse James,PIT,1,5,4,27,0,2.7,2.7,2017,2
27,Ed Dickson,CAR,1,3,2,26,0,2.6,2.6,2017,2
28,Julius Thomas,MIA,1,3,3,26,0,2.6,2.6,2017,2
29,Jared Cook,OAK,1,6,4,25,0,2.5,2.5,2017,2
30,Luke Willson,SEA,1,3,3,25,0,2.5,2.5,2017,2
31,Cameron Brate,TB,1,3,2,24,0,2.4,2.4,2017,2
32,Charles Clay,BUF,1,3,3,23,0,2.3,2.3,2017,2
33,Maxx Williams,BAL,1,4,4,21,0,2.3,2.3,2017,2
34,Richard Rodgers,GB,1,4,2,22,0,2.2,2.2,2017,2
35,Rhett Ellison,NYG,1,2,2,21,0,2.1,2.1,2017,2
36,Randall Telfer,CLE,1,1,1,20,0,2.0,2.0,2017,2
37,Brandon Williams,IND,1,1,1,20,0,2.0,2.0,2017,2
38,O.J. Howard,TB,1,3,1,17,0,1.7,1.7,2017,2
39,Troy Niklas,ARI,1,1,1,16,0,1.6,1.6,2017,2
40,Jeff Heuerman,DEN,1,1,1,15,0,1.5,1.5,2017,2
41,Vernon Davis,WAS,1,1,1,13,0,1.3,1.3,2017,2
42,George Kittle,SF,1,2,2,13,0,1.3,1.3,2017,2
43,Trey Burton,PHI,1,1,1,10,0,1.0,1.0,2017,2
44,Sean McGrath,LAC,1,1,1,10,0,1.0,1.0,2017,2
45,Greg Olsen,CAR,1,2,1,10,0,1.0,1.0,2017,2
46,Nick Boyle,BAL,1,1,1,9,0,0.9,0.9,2017,2
47,Derek Carrier,LAR,1,1,1,9,0,0.9,0.9,2017,2
48,Lee Smith,OAK,1,1,1,9,0,0.9,0.9,2017,2
49,Michael Hoomanawanui,NO,1,1,1,8,0,0.8,0.8,2017,2
50,Neal Sterling,NYJ,1,1,1,8,0,0.8,0.8,2017,2
1,Marcedes Lewis,JAC,1,5,4,62,3,24.2,24.2,2017,3
2,Rob Gronkowski,NE,1,10,8,89,1,14.9,14.9,2017,3
3,Ryan Griffin,HOU,1,6,5,61,1,12.1,12.1,2017,3
4,Vernon Davis,WAS,1,5,5,58,1,11.8,11.8,2017,3
5,Zach Ertz,PHI,1,10,8,55,1,11.5,11.5,2017,3
6,Luke Willson,SEA,1,4,3,53,1,11.3,11.3,2017,3
7,Lance Kendricks,GB,1,3,2,52,1,11.2,11.2,2017,3
8,Jared Cook,OAK,1,6,4,43,1,10.3,10.3,2017,3
9,Charles Clay,BUF,1,6,6,39,1,9.9,9.9,2017,3
10,Cameron Brate,TB,1,4,4,33,1,9.3,9.3,2017,3
11,Jonnu Smith,TEN,1,2,1,24,1,8.4,8.4,2017,3
12,Jimmy Graham,SEA,1,11,7,72,0,7.2,7.2,2017,3
13,David Njoku,CLE,1,4,2,12,1,7.2,7.2,2017,3
14,Ben Watson,BAL,1,3,3,12,1,7.2,7.2,2017,3
15,Adam Shaheen,CHI,1,1,1,2,1,6.2,6.2,2017,3
16,Garrett Celek,SF,1,2,1,1,1,6.1,6.1,2017,3
17,Jermaine Gresham,ARI,1,9,5,47,0,4.7,4.7,2017,3
18,Evan Engram,NYG,1,7,5,45,0,4.5,4.5,2017,3
19,Nick O'Leary,BUF,1,1,1,31,0,3.1,3.1,2017,3
20,Austin Seferian-Jenkins,NYJ,1,6,5,31,0,3.1,3.1,2017,3
21,Delanie Walker,TEN,1,6,4,31,0,3.1,3.1,2017,3
22,Antonio Gates,LAC,1,5,2,30,0,3.0,3.0,2017,3
23,Seth Devalve,CLE,1,5,2,29,0,2.9,2.9,2017,3
24,Tyler Kroft,CIN,1,4,3,28,0,2.8,2.8,2017,3
25,Coby Fleener,NO,1,1,1,21,0,2.1,2.1,2017,3
26,Jacob Hollister,NE,1,1,1,19,0,1.9,1.9,2017,3
27,Jesse James,PIT,1,4,2,19,0,1.9,1.9,2017,3
28,Virgil Green,DEN,1,3,3,18,0,1.8,1.8,2017,3
29,Derek Carrier,LAR,1,1,1,17,0,1.7,1.7,2017,3
30,Zach Miller,CHI,1,3,1,17,0,1.7,1.7,2017,3
31,Jack Doyle,IND,1,5,2,16,0,1.6,1.6,2017,3
32,Julius Thomas,MIA,1,5,3,16,0,1.6,1.6,2017,3
33,Stephen Anderson,HOU,1,3,1,14,0,1.4,1.4,2017,3
34,Nick Boyle,BAL,1,2,2,14,0,1.4,1.4,2017,3
35,Martellus Bennett,GB,1,4,3,12,0,1.2,1.2,2017,3
36,O.J. Howard,TB,1,1,1,12,0,1.2,1.2,2017,3
37,James O'Shaughnessy,JAC,1,1,1,12,0,1.2,1.2,2017,3
38,Troy Niklas,ARI,1,1,1,10,0,1.0,1.0,2017,3
39,Eric Ebron,DET,1,7,2,9,0,0.9,0.9,2017,3
40,Austin Hooper,ATL,1,2,1,9,0,0.9,0.9,2017,3
41,Ed Dickson,CAR,1,1,1,8,0,0.8,0.8,2017,3
42,Darren Fells,DET,1,1,1,8,0,0.8,0.8,2017,3
43,George Kittle,SF,1,3,1,8,0,0.8,0.8,2017,3
44,Trey Burton,PHI,1,3,2,7,0,0.7,0.7,2017,3
45,Brandon Williams,IND,1,1,1,7,0,0.7,0.7,2017,3
46,Darrell Daniels,IND,1,1,1,6,0,0.6,0.6,2017,3
47,Alan Cross,TB,1,1,1,5,0,0.5,0.5,2017,3
48,A.J. Derby,DEN,1,2,1,5,0,0.5,0.5,2017,3
49,Tyler Higbee,LAR,1,3,1,4,0,0.4,0.4,2017,3
50,Kyle Rudolph,MIN,1,2,1,4,0,0.4,0.4,2017,3
1,Tyler Kroft,CIN,1,7,6,68,2,18.8,18.8,2017,4
2,Travis Kelce,KC,1,8,7,111,1,17.4,17.4,2017,4
3,Cameron Brate,TB,1,6,4,80,1,14.0,14.0,2017,4
4,A.J. Derby,DEN,1,6,4,75,1,13.5,13.5,2017,4
5,O.J. Howard,TB,1,4,2,63,1,12.3,12.3,2017,4
6,Charles Clay,BUF,1,7,5,112,0,11.2,11.2,2017,4
7,Vernon Davis,WAS,1,3,2,89,0,8.9,8.9,2017,4
8,James Hanna,DAL,1,1,1,28,1,8.8,8.8,2017,4
9,Zach Ertz,PHI,1,8,5,81,0,8.1,8.1,2017,4
10,Rob Gronkowski,NE,1,5,4,80,0,8.0,8.0,2017,4
11,Hunter Henry,LAC,1,3,2,16,1,7.6,7.6,2017,4
12,Rhett Ellison,NYG,1,2,2,11,1,7.1,7.1,2017,4
13,Luke Willson,SEA,1,1,1,6,1,6.6,6.6,2017,4
14,Ed Dickson,CAR,1,4,3,62,0,6.2,6.2,2017,4
15,Evan Engram,NYG,1,11,6,62,0,6.2,6.2,2017,4
16,Jimmy Graham,SEA,1,6,4,61,0,6.1,6.1,2017,4
17,Delanie Walker,TEN,1,7,3,51,0,5.1,5.1,2017,4
18,Austin Hooper,ATL,1,7,5,50,0,5.0,5.0,2017,4
19,Tyler Higbee,LAR,1,6,3,47,0,4.7,4.7,2017,4
20,Jared Cook,OAK,1,8,3,46,0,4.6,4.6,2017,4
