,name,team,g,rec_target,rec_rec,rec_yd,rec_td,rush_att,rush_yd,rush_td,fp,fpg,season,week
1,Robert Woods,LAR,1,10,8,171,2,0,0,0,29.1,29.1,2017,10
2,Adam Thielen,MIN,1,12,8,166,1,0,0,0,22.6,22.6,2017,10
3,Devin Funchess,CAR,1,6,5,92,2,0,0,0,21.2,21.2,2017,10
4,A.J. Green,CIN,1,7,5,115,1,0,0,0,17.5,17.5,2017,10
5,Chester Rogers,IND,1,6,6,104,1,1,3,0,16.7,16.7,2017,10
6,Marquise Goodwin,SF,1,2,1,83,1,1,18,0,16.1,16.1,2017,10
7,JuJu Smith-Schuster,PIT,1,7,5,97,1,0,0,0,15.7,15.7,2017,10
8,Golden Tate,DET,1,7,6,97,1,0,0,0,15.7,15.7,2017,10
9,Brandon LaFell,CIN,1,10,6,95,1,0,0,0,15.5,15.5,2017,10
10,Davante Adams,GB,1,8,5,90,1,0,0,0,15.0,15.0,2017,10
11,Robby Anderson,NYJ,1,7,4,85,1,0,0,0,14.5,14.5,2017,10
12,Sterling Shepard,NYG,1,13,11,142,0,0,0,0,14.2,14.2,2017,10
13,Stefon Diggs,MIN,1,5,4,78,1,0,0,0,13.8,13.8,2017,10
14,Emmanuel Sanders,DEN,1,11,6,137,0,0,0,0,13.7,13.7,2017,10
15,Donte Moncrief,IND,1,1,1,60,1,0,0,0,12.0,12.0,2017,10
16,Josh Bellamy,CHI,1,7,2,57,1,0,0,0,11.7,11.7,2017,10
17,Michael Thomas,NO,1,10,9,117,0,0,0,0,11.7,11.7,2017,10
18,Marqise Lee,JAC,1,11,6,55,1,0,0,0,11.5,11.5,2017,10
19,Larry Fitzgerald,ARI,1,14,10,113,0,0,0,0,11.3,11.3,2017,10
20,DeAndre Hopkins,HOU,1,14,7,111,0,0,0,0,11.1,11.1,2017,10
21,Maurice Harris,WAS,1,3,2,50,1,0,0,0,11.0,11.0,2017,10
22,Demaryius Thomas,DEN,1,8,5,44,1,0,0,0,10.4,10.4,2017,10
23,Jarvis Landry,MIA,1,10,5,42,1,0,0,0,10.2,10.2,2017,10
24,Bruce Ellington,HOU,1,8,4,41,1,0,0,0,10.1,10.1,2017,10
25,Sammy Watkins,LAR,1,3,2,41,1,0,0,0,10.1,10.1,2017,10
26,Kenny Britt,CLE,1,3,2,38,1,0,0,0,9.8,9.8,2017,10
27,Doug Baldwin,SEA,1,6,5,95,0,0,0,0,9.5,9.5,2017,10
28,Roger Lewis,NYG,1,4,3,33,1,0,0,0,9.3,9.3,2017,10
29,Dontrelle Inman,CHI,1,8,6,88,0,0,0,0,8.8,8.8,2017,10
30,DeSean Jackson,TB,1,10,6,82,0,0,0,0,8.2,8.2,2017,10
31,Jamison Crowder,WAS,1,11,4,76,0,1,5,0,8.1,8.1,2017,10
32,Brandin Cooks,NE,1,11,6,74,0,0,0,0,7.4,7.4,2017,10
33,Taylor Gabriel,ATL,1,3,3,58,0,1,15,0,7.3,7.3,2017,10
34,Allen Hurns,JAC,1,9,7,70,0,0,0,0,7.0,7.0,2017,10
35,Chris Godwin,TB,1,10,5,68,0,0,0,0,6.8,6.8,2017,10
36,Justin Hardy,ATL,1,2,2,7,1,0,0,0,6.7,6.7,2017,10
37,Kenny Stills,MIA,1,8,5,67,0,0,0,0,6.7,6.7,2017,10
38,Jarius Wright,MIN,1,1,1,7,1,0,0,0,6.7,6.7,2017,10
39,DeVante Parker,MIA,1,9,6,66,0,0,0,0,6.6,6.6,2017,10
40,Kenny Golladay,DET,1,3,2,64,0,0,0,0,6.4,6.4,2017,10
41,Keelan Cole,JAC,1,8,3,61,0,0,0,0,6.1,6.1,2017,10
42,Randall Cobb,GB,1,4,3,52,0,4,8,0,6.0,6.0,2017,10
43,Julio Jones,ATL,1,8,6,57,0,0,0,0,5.7,5.7,2017,10
44,Keenan Allen,LAC,1,7,4,48,0,1,6,0,5.4,5.4,2017,10
45,Rishard Matthews,TEN,1,7,5,50,0,0,0,0,5.0,5.0,2017,10
46,Tyrell Williams,LAC,1,5,2,49,0,0,0,0,4.9,4.9,2017,10
47,Corey Davis,TEN,1,10,4,48,0,0,0,0,4.8,4.8,2017,10
48,Louis Murphy,SF,1,2,2,48,0,0,0,0,4.8,4.8,2017,10
49,Antonio Brown,PIT,1,7,3,47,0,0,0,0,4.7,4.7,2017,10
50,Cooper Kupp,LAR,1,7,6,47,0,0,0,0,4.7,4.7,2017,10
1,Antonio Brown,PIT,1,13,10,144,3,0,0,0,32.4,32.4,2017,11
2,Keenan Allen,LAC,1,13,12,159,2,1,3,0,28.2,28.2,2017,11
3,Kenny Stills,MIA,1,8,7,180,1,0,0,0,24.0,24.0,2017,11
4,Brandin Cooks,NE,1,9,6,149,1,0,0,0,20.9,20.9,2017,11
5,Adam Thielen,MIN,1,9,6,123,1,0,0,0,18.3,18.3,2017,11
6,Rishard Matthews,TEN,1,6,5,113,1,0,0,0,17.3,17.3,2017,11
7,Jarvis Landry,MIA,1,11,6,95,1,0,0,0,15.5,15.5,2017,11
8,Larry Fitzgerald,ARI,1,10,9,91,1,0,0,0,15.1,15.1,2017,11
9,Marvin Jones,DET,1,7,4,85,1,0,0,0,14.5,14.5,2017,11
10,DeAndre Hopkins,HOU,1,9,4,76,1,0,0,0,13.6,13.6,2017,11
11,Alshon Jeffery,PHI,1,7,4,67,1,0,0,0,12.7,12.7,2017,11
12,Davante Adams,GB,1,10,8,126,0,0,0,0,12.6,12.6,2017,11
13,Danny Amendola,NE,1,9,8,66,1,0,0,0,12.6,12.6,2017,11
14,Demaryius Thomas,DEN,1,9,5,64,1,0,0,0,12.4,12.4,2017,11
15,Ryan Grant,WAS,1,3,3,59,1,0,0,0,11.9,11.9,2017,11
16,Mike Wallace,BAL,1,4,4,56,1,0,0,0,11.6,11.6,2017,11
17,A.J. Green,CIN,1,9,4,50,1,0,0,0,11.0,11.0,2017,11
18,Alex Erickson,CIN,1,2,2,42,1,0,0,0,10.2,10.2,2017,11
19,Doug Baldwin,SEA,1,6,2,40,1,0,0,0,10.0,10.0,2017,11
20,Mohamed Sanu,ATL,1,3,3,34,1,1,3,0,9.7,9.7,2017,11
21,Mike Evans,TB,1,10,5,92,0,0,0,0,9.2,9.2,2017,11
22,Michael Thomas,NO,1,11,6,91,0,0,0,0,9.1,9.1,2017,11
23,Amari Cooper,OAK,1,7,3,28,1,0,0,0,8.8,8.8,2017,11
24,DeSean Jackson,TB,1,3,2,28,1,0,0,0,8.8,8.8,2017,11
25,Torrey Smith,PHI,1,4,3,28,1,0,0,0,8.8,8.8,2017,11
26,Tyreek Hill,KC,1,7,7,68,0,1,16,0,8.4,8.4,2017,11
27,Josh Doctson,WAS,1,7,4,81,0,0,0,0,8.1,8.1,2017,11
28,Robert Woods,LAR,1,11,8,81,0,0,0,0,8.1,8.1,2017,11
29,Corey Coleman,CLE,1,11,6,80,0,0,0,0,8.0,8.0,2017,11
30,Jamison Crowder,WAS,1,8,7,72,0,1,4,0,7.6,7.6,2017,11
31,Ted Ginn Jr.,NO,1,6,6,87,0,1,-12,0,7.5,7.5,2017,11
32,Julio Jones,ATL,1,10,5,71,0,0,0,0,7.1,7.1,2017,11
33,Bruce Ellington,HOU,1,7,6,63,0,1,5,0,6.8,6.8,2017,11
34,Zay Jones,BUF,1,7,4,68,0,0,0,0,6.8,6.8,2017,11
35,Cooper Kupp,LAR,1,7,6,64,0,0,0,0,6.4,6.4,2017,11
36,Dez Bryant,DAL,1,14,8,63,0,0,0,0,6.3,6.3,2017,11
37,Paul Richardson,SEA,1,8,5,56,0,0,0,0,5.6,5.6,2017,11
38,T.J. Jones,DET,1,5,4,55,0,0,0,0,5.5,5.5,2017,11
39,Roger Lewis,NYG,1,4,3,55,0,0,0,0,5.5,5.5,2017,11
40,Kenny Golladay,DET,1,3,2,52,0,0,0,0,5.2,5.2,2017,11
41,Michael Crabtree,OAK,1,11,6,51,0,0,0,0,5.1,5.1,2017,11
42,Tavarres King,NYG,1,5,3,48,0,0,0,0,4.8,4.8,2017,11
43,JuJu Smith-Schuster,PIT,1,8,4,47,0,0,0,0,4.7,4.7,2017,11
44,Marqise Lee,JAC,1,9,5,45,0,0,0,0,4.5,4.5,2017,11
45,Cordarrelle Patterson,OAK,1,4,4,45,0,0,0,0,4.5,4.5,2017,11
46,Dontrelle Inman,CHI,1,5,3,43,0,0,0,0,4.3,4.3,2017,11
47,Chris Godwin,TB,1,2,2,38,0,0,0,0,3.8,3.8,2017,11
48,Mike Williams,LAC,1,8,5,38,0,0,0,0,3.8,3.8,2017,11
49,Eric Decker,TEN,1,3,3,37,0,0,0,0,3.7,3.7,2017,11
50,Brandon LaFell,CIN,1,5,3,37,0,0,0,0,3.7,3.7,2017,11
1,Julio Jones,ATL,1,15,12,253,2,1,15,0,38.8,38.8,2017,12
2,Antonio Brown,PIT,1,12,10,169,2,0,0,0,28.9,28.9,2017,12
3,Robby Anderson,NYJ,1,10,6,146,2,0,0,0,26.6,26.6,2017,12
4,Keenan Allen,LAC,1,14,11,172,1,0,0,0,23.2,23.2,2017,12
5,Marvin Jones,DET,1,9,6,109,2,0,0,0,22.9,22.9,2017,12
6,Jamison Crowder,WAS,1,10,7,141,1,0,0,0,20.1,20.1,2017,12
7,Jermaine Kearse,NYJ,1,11,7,105,1,0,0,0,16.5,16.5,2017,12
8,Brandin Cooks,NE,1,7,6,83,1,1,11,0,15.4,15.4,2017,12
9,Nelson Agholor,PHI,1,6,3,32,1,0,0,1,15.2,15.2,2017,12
10,Davante Adams,GB,1,9,5,82,1,0,0,0,14.2,14.2,2017,12
11,Sammy Watkins,LAR,1,9,4,82,1,0,0,0,14.2,14.2,2017,12
12,DeAndre Hopkins,HOU,1,10,7,125,0,0,0,0,12.5,12.5,2017,12
13,Randall Cobb,GB,1,4,4,58,1,0,0,0,11.8,11.8,2017,12
14,Tyrell Williams,LAC,1,3,2,58,1,0,0,0,11.8,11.8,2017,12
15,Cooper Kupp,LAR,1,11,8,116,0,0,0,0,11.6,11.6,2017,12
16,Jaron Brown,ARI,1,1,1,52,1,0,0,0,11.2,11.2,2017,12
17,Alshon Jeffery,PHI,1,9,5,52,1,0,0,0,11.2,11.2,2017,12
18,Devin Funchess,CAR,1,12,7,108,0,0,0,0,10.8,10.8,2017,12
19,Cody Latimer,DEN,1,4,3,48,1,0,0,0,10.8,10.8,2017,12
20,Martavis Bryant,PIT,1,6,4,40,1,1,1,0,10.1,10.1,2017,12
21,Josh Reynolds,LAR,1,6,4,37,1,0,0,0,9.7,9.7,2017,12
22,Albert Wilson,KC,1,7,3,36,1,0,0,0,9.6,9.6,2017,12
23,Bennie Fowler,DEN,1,4,3,33,1,0,0,0,9.3,9.3,2017,12
24,Zay Jones,BUF,1,10,3,33,1,0,0,0,9.3,9.3,2017,12
25,Adam Thielen,MIN,1,11,8,89,0,0,0,0,8.9,8.9,2017,12
26,Josh Doctson,WAS,1,4,2,28,1,0,0,0,8.8,8.8,2017,12
27,Mike Evans,TB,1,12,6,78,0,0,0,0,7.8,7.8,2017,12
28,Marquise Goodwin,SF,1,6,4,78,0,0,0,0,7.8,7.8,2017,12
29,Tyler Boyd,CIN,1,2,2,17,1,0,0,0,7.7,7.7,2017,12
30,Stefon Diggs,MIN,1,7,5,66,0,1,9,0,7.5,7.5,2017,12
31,Louis Murphy,SF,1,4,2,14,1,0,0,0,7.4,7.4,2017,12
32,Cordarrelle Patterson,OAK,1,4,3,72,0,0,0,0,7.2,7.2,2017,12
33,Ted Ginn Jr.,NO,1,11,7,71,0,0,0,0,7.1,7.1,2017,12
34,Jarvis Landry,MIA,1,9,8,70,0,0,0,0,7.0,7.0,2017,12
35,Paul Richardson,SEA,1,7,4,70,0,0,0,0,7.0,7.0,2017,12
36,Amari Cooper,OAK,1,1,1,9,1,0,0,0,6.9,6.9,2017,12
37,A.J. Green,CIN,1,8,5,66,0,0,0,0,6.6,6.6,2017,12
38,Corey Coleman,CLE,1,8,3,64,0,0,0,0,6.4,6.4,2017,12
39,Dontrelle Inman,CHI,1,9,4,64,0,0,0,0,6.4,6.4,2017,12
40,Mohamed Sanu,ATL,1,9,8,64,0,0,0,0,6.4,6.4,2017,12
41,Kenny Golladay,DET,1,4,2,61,0,0,0,0,6.1,6.1,2017,12
42,DeSean Jackson,TB,1,11,8,60,0,0,0,0,6.0,6.0,2017,12
43,Terrance Williams,DAL,1,5,4,54,0,1,6,0,6.0,6.0,2017,12
44,Travis Benjamin,LAC,1,3,3,50,0,1,6,0,5.6,5.6,2017,12
45,Tyreek Hill,KC,1,11,7,41,0,2,13,0,5.4,5.4,2017,12
46,Johnny Holton,OAK,1,2,2,53,0,0,0,0,5.3,5.3,2017,12
47,Kenny Britt,CLE,1,2,2,52,0,0,0,0,5.2,5.2,2017,12
48,Michael Thomas,NO,1,8,5,52,0,0,0,0,5.2,5.2,2017,12
49,Mike Wallace,BAL,1,11,5,48,0,0,0,0,4.8,4.8,2017,12
50,Kenny Stills,MIA,1,6,3,47,0,0,0,0,4.7,4.7,2017,12
